src,tgt,pred-21,Pred-53,pred-72
 left chair right door-stuff left window-other right bottle right door-stuff,Walk past the large picture and chair. Walk past the dining room table turn right into the hallway and stop. , Make a chair to the chair and take a right. Go to the right and go to the the right right right right right right when you get to the right., Go to the left passed the chair. Turn right and go to the see and take a left go right. Go to the right right and stop when you're, Make a chair to the chair and take a right. Go to the right and go to the the right right right right right right when you get to the right.
 right door-stuff right door-stuff right door-stuff right door-stuff,Walk to the foot of the bed and to a little sitting area.  Go through the door on the left side.  Stop once you have stepped into the bathroom. , Go right to the right and go right to the right right right right right when you can see a right and stop when you get to the right., Go to the right and go right when there is right and go right down right again. Stop right when you get to the right and stop., Go right to the right and go right to the right right right right right when you can see a right and stop when you get to the right.
 right door-stuff right window-other right window-other right couch right couch right window-other,"Go straight and slightly right toward the glass table and white chairs. Pass the table and head straight, pass the couches and go into the room straight ahead. Wait by the bed. "," Go to the right right when you see a right right to the right passed the couch and turn right, and the couch right and stop when you get to the right.", Go to the right when you right when you see right to the right facing the couch. Stop right passed the couch couch and the right right again.," Go to the right right when you see a right right to the right passed the couch and turn right, and the couch right and stop when you get to the right."
 right toilet right door-stuff right door-stuff right potted plant right potted plant,"Exit the bathroom, cross the room passed the black doors on the right and then go to the right, passed the room with white counters in it, then go to the spot between the glass wall and the third counter chair. ", Go to the right to the right right when you see a right right to the potted plant. Turn right and the potted plant., Go to the right when you reach the massage turn right. Pass the right the the potted plant a right. Wait when you the plant., Go to the right to the right right when you see a right right to the potted plant. Turn right and the potted plant.
 right potted plant right window-other right window-other right potted plant,Go stand behind the middle kitchen island chair. ," Go right passed the potted plant and right right to the right. right, turn right and right when you get to the potted plant."," Go to the right, Pass the potted plant and the right. Go to the right, and the right. Wait when you get to the potted plant."," Go right passed the potted plant and right right to the right. right, turn right and right when you get to the potted plant."
 left door-stuff straight towards window-other straight towards dining table left window-other,Walk behind the couch and turn left.  Stop beside the middle stool. , Go to the left and go straight towards the towards towards towards towards towards towards the dining table. the the and the, Go a left and go passed the and straight straight towards the inside. Keep walking straight towards the dining table and take a left., Go to the left and go straight towards the towards towards towards towards towards towards the dining table. the the and the
 right door-stuff right window-other right window-other right window-other right potted plant,"Walk straight, and when you reach the end of the table turn right.  Wait by the brass chairs. ", Turn right to the right right towards the right right right right right right when you can see a right and potted plant., Go right to the right. Go right when you can turn right when you can turn right. Go down the the and stop when you get plant., Turn right to the right right towards the right right right right right right when you can see a right and potted plant.
 right window-other right furniture-other right window-other right window-other right window-other right window-other,Walk straight through the living room with the couch on your right. Go through the doorway into the bedroom at the end of the walkway. In the bedroom take a left and stop in the entry way just before the rug. , Go right to the right right right right right right right right right right right right right right right right right right right right right right right right right again., Go to the right when you right when you see right to the right continue. Make a right when you can turn right when you see right and stop right when you can go right that is right and wait., Go right to the right right right right right right right right right right right right right right right right right right right right right right right right right again.
 right chair right door-stuff right door-stuff right mirror-stuff,"Exit the bedroom, enter the bathroom, wait at the toilet. "," Go to the right passed the chair, turn right and go right to the right right and right right stopping right when you get to the right.", Go to the right passed the fireplace and go right to the right. Turn right and go right passed the right and stop.," Go to the right passed the chair, turn right and go right to the right right and right right stopping right when you get to the right."
 right cup right bed right door-stuff right door-stuff,Exit the shower and go into the room then turn right to exit the bedroom. Head toward the beige couches and wait near the blue rug with the three round coffee tables. , Go to the right passed the right and the bed. Go passed the right and right right right right and stop when you get to the right., Go to the right when you get to the right and the bed. Turn right and go right passing the right again., Go to the right passed the right and the bed. Go passed the right and right right right right and stop when you get to the right.
 right door-stuff right sink right counter left window-other right sink right mirror-stuff,"Walk forward in the direction of the dining room. Veer right, and go down the hall into the bathroom. Stop in front of the sink. ", Go to the right right facing the right passed the sink. Turn right and go passed the Turn and right passed the sink. Turn right and stop right facing the right and stop., Go to the right when you right to the right facing the sink. Turn right and go passed the right and stop right when the get to the right again., Go to the right right facing the right passed the sink. Turn right and go passed the Turn and right passed the sink. Turn right and stop right facing the right and stop.
 right door-stuff right door-stuff right door-stuff right mirror-stuff,Go in the left side door and go passed the sinks and stop in the doorway. , Go right to the right and go right to the right right right right right when you can see a right and stop when you get to the right., Go to the right and go right when there is right and go right down right again. Stop right when you get to the right and stop., Go right to the right and go right to the right right right right right when you can see a right and stop when you get to the right.
 left door-stuff straight towards window-other left chair right door-stuff left window-other right bottle,"Walk out of the bedroom and into the living room, then walk straight until you get to the dining area and wait. "," Go to the left and go straight towards the left, see the chair, take a hard right and go to the your left, and go to the right and stop when you're to the right.", Go a left passed the and and go straight towards the a left and and make right to the your your left and when you're to right again.," Go to the left and go straight towards the left, see the chair, take a hard right and go to the your left, and go to the right and stop when you're to the right."
 right potted plant right window-other right window-other right window-other right couch right window-other,"Walk forward past he living room, into the dining room. Stop in the doorway to the bedroom. ", Go to the right potted plant right when you see a right right right right right right right and right passed the couch and stop right when you get to the right.," Go to the right when the potted plant and take a right. Go to the right when you can turn right, and stop when you can turn right and stop.", Go to the right potted plant right when you see a right right right right right right right and right passed the couch and stop right when you get to the right.
 left door-stuff right door-stuff right door-stuff right door-stuff right door-stuff right mirror-stuff,Go straight then turn right. Pass the bed then turn left pass the shower on the right and the sink on the right and wait by the toilet. , Go to the left and go right to the right right right right right right right right right right right right right right right right right right right right right again., Go down the left and go right to the right. Turn right when you can turn right when you can turn right and go right down that can turn right and stop., Go to the left and go right to the right right right right right right right right right right right right right right right right right right right right right again.
 left door-stuff straight towards tv straight towards dining table left window-other right counter,"Move forward and turn left. Your goal is ahead, move forward until you reach it. ", Go to the left and go straight towards the TV and go straight towards the dining table. table. take a left and go to the counter counter.," Go to the left and follow the left, and straight towards the TV and towards the dining table. take a left and stop when you reach the counter.", Go to the left and go straight towards the TV and go straight towards the dining table. table. take a left and go to the counter counter.
 left door-stuff right window-other straight towards door-stuff right couch right window-other right potted plant,"Turn right walk out doorway. Turn right walk towards bathroom. Turn right walk past bathroom. Turn left, stop in front of bar stools. "," Make a left to the right, go right facing the right towards the right and the couch. right, turn right and right the the potted plant.", Make a left to go and go right facing the right. Go straight towards the the couch and turn right. right. when you get to the right plant.," Make a left to the right, go right facing the right towards the right and the couch. right, turn right and right the the potted plant."
 left door-stuff left door-stuff straight towards chair right door-stuff left window-other,Turn so the wall is on your right and the furniture is on your left. Then go forward until you're past the furniture. Turn left and move forward until you're next to the kitchen pass through on your right. ," Go to the left and the left, go passed the left and go straight towards the chair, make a right and go to the left and the"," Go to the left and follow the left, take a left and go straight towards the chair, turn right, and go to the right and stop when you're to the"," Go to the left and the left, go passed the left and go straight towards the chair, make a right and go to the left and the"
 right mirror-stuff right chair right mirror-stuff right bed,Walk out of the bathroom and turn right. Stop in front of the bed. ," Go to the right to the right and passed the chair, turn right and go to the right and the bed."," Go to the right and go right when see the chair, turn right and go to the right and stop when you get to the bed."," Go to the right to the right and passed the chair, turn right and go to the right and the bed."
 right mirror-stuff right chair right mirror-stuff right bed right door-stuff right door-stuff,"walk towards robe, through doorway, turn right towards bed, turn right and stop in doorway. ", Go to the right right to the chair. Turn right passed the chair. Turn right and go passed the bed. Turn right and right right and stop, Go to the right when you right passed the chair. Turn right when the see the right and go the the right right right when you can right right before you can see right and wait., Go to the right right to the chair. Turn right passed the chair. Turn right and go passed the bed. Turn right and right right and stop
 right bottle right door-stuff right chair right potted plant,Walk through the door. Turn left. Walk past the table. Turn left. Stop next to the bar stools. ," Turn right to the right and go right right when you see a chair, turn right and stop when you see a plant plant."," Make a right to go right facing the right and go to the right when you see the chair, turn right."," Turn right to the right and go right right when you see a chair, turn right and stop when you see a plant plant."
 right chair right window-other right window-other right refrigerator right refrigerator straight towards mirror-stuff,Walk past the dining table and take a left into the hallway. In the hallway walk into the bathroom and stop on the rug. , Go to the right passed the chair. Turn right right right right when you can to the refrigerator and go straight and go towards the, Go to the right passed the chair. Turn right and go right before the right railing. Turn right and refrigerator going going to the refrigerator towards the doorway., Go to the right passed the chair. Turn right right right right when you can to the refrigerator and go straight and go towards the
 right chair right window-other right window-other right potted plant,Walk to left of the dinning table and make a right at the end of the table and another right and walk to the middle of the table and wait there. , Go right passed the chair and turn right to the right right right right when you can see a right and potted plant., Go to the right passed the chair. Turn right and go to the right again. Go to the right and the plant., Go right passed the chair and turn right to the right right right right when you can see a right and potted plant.
 left bed left door-stuff straight towards door-stuff straight towards door-stuff,Exit the room and turn left into the bathroom. ," Go to the left, go passed the bed and to the left, and go passed the and straight towards the sofas. Go straight towards the", Go to the left around the bed and to the left and go left towards the straight going straight towards the inside. going straight towards that leads straight and wait leather going up.," Go to the left, go passed the bed and to the left, and go passed the and straight towards the sofas. Go straight towards the"
 right bottle right door-stuff left door-stuff straight towards mirror-stuff,"Exit the wet bar, walk straight ahead and wait in the bathroom at the end. ", Go right to the right and right to the right and make a left and go straight and towards the, Turn to the right and take a right when you see a right and take another left. Walk to the doors and stop before the, Go right to the right and right to the right and make a left and go straight and towards the
 left bed left door-stuff straight towards door-stuff straight towards door-stuff right mirror-stuff,Go between the two tables and through the doorway and go to your left to the sink. , Go to the bed. Go to the left and go the left and the go straight towards the the and towards the right right right right right, Go to the left passed the bed and to the left and go left towards the going straight towards the the the stop right right right right right, Go to the bed. Go to the left and go the left and the go straight towards the the and towards the right right right right right
 right potted plant right window-other right window-other straight towards door-stuff,"Walk across living room, turn left and enter super cool theater room. ", Go to the right potted plant to your right and go right to the right again. Go straight towards the, Go to the right when the potted plant and take a right. Go to the right that is straight towards the outside., Go to the right potted plant to your right and go right to the right again. Go straight towards the
 left door-stuff right door-stuff right door-stuff right door-stuff,"walk behind couch to bedroom on right, in front of couch turn left and enter bathroom,  stop at vanity mirror. "," Make a left to the right, go to the right and go right to the right and the right right stopping when you get to the right.", Go to the left and go passed the Turn right and go right when you get to the right and stop right when you get to the right.," Make a left to the right, go to the right and go right to the right and the right right stopping when you get to the right."
 right window-other straight towards door-stuff right couch right refrigerator,"Exit the room, and turn right.  Immediately turn right and walk towards the long glass table.  Wait here. ", Go to the right and go right to go straight towards the the Turn right and go passed the couch and the right the, Go to the right and take a right when you see straight towards the go going right and pass the couch and stop right when you get to the refrigerator., Go to the right and go right to go straight towards the the Turn right and go passed the couch and the right the
 right door-stuff right door-stuff right door-stuff right door-stuff,"Walk into the bedroom, around the bed, and stop right next to the open doorway. ", Go right to the right and go right to the right right right right right when you can see a right and stop when you get to the right., Go to the right and go right when there is right and go right down right again. Stop right when you get to the right and stop., Go right to the right and go right to the right right right right right when you can see a right and stop when you get to the right.
